sku,location_id,part_name,category,city,country_code,climate_zone,volatility_score,seasonality_score,weather_sensitivity_score,business_impact_score,peak_month,primary_trigger,primary_trigger_label,primary_trigger_uplift_percent,best_window_days,best_window_wape_percent,sensitivity_segment,profile_summary
PEU-CABIN-CARBON,FI_HEL,Filtru habitaclu cu carbon,filters,Helsinki,,Nordic,0.4174,1.1753,0.2469,67.73,4,heatwave_flag,heatwave,24.7,7,9.9763,stable_monitor,"Helsinki / Filtru habitaclu cu carbon: peak month 4, trigger heatwave (+24.7%), recommended window 7 zile."
PEU-CABIN-CARBON,EE_TLL,Filtru habitaclu cu carbon,filters,Tallinn,,Nordic,0.4193,1.1865,0.2439,67.41,4,heatwave_flag,heatwave,24.4,7,9.9763,stable_monitor,"Tallinn / Filtru habitaclu cu carbon: peak month 4, trigger heatwave (+24.4%), recommended window 7 zile."
PEU-CABIN-CARBON,FR_PAR,Filtru habitaclu cu carbon,filters,Paris,,West,0.4203,1.1695,0.2447,67.31,4,heatwave_flag,heatwave,24.5,7,9.9763,stable_monitor,"Paris / Filtru habitaclu cu carbon: peak month 4, trigger heatwave (+24.5%), recommended window 7 zile."
PEU-CABIN-CARBON,SE_STO,Filtru habitaclu cu carbon,filters,Stockholm,,Nordic,0.4179,1.1833,0.227,67.27,4,heatwave_flag,heatwave,22.7,7,9.9763,stable_monitor,"Stockholm / Filtru habitaclu cu carbon: peak month 4, trigger heatwave (+22.7%), recommended window 7 zile."
PEU-CABIN-CARBON,ES_MAD,Filtru habitaclu cu carbon,filters,Madrid,,South,0.4291,1.1253,0.2813,67.08,5,heatwave_flag,heatwave,28.1,7,9.9763,stable_monitor,"Madrid / Filtru habitaclu cu carbon: peak month 5, trigger heatwave (+28.1%), recommended window 7 zile."
PEU-BATT-70AH,FI_HEL,Baterie 70Ah AGM/EFB,battery,Helsinki,,Nordic,0.2762,0.551,0.6267,66.53,12,cold_snap_flag,cold snap,62.7,28,13.7461,stable_monitor,"Helsinki / Baterie 70Ah AGM/EFB: peak month 12, trigger cold snap (+62.7%), recommended window 28 zile."
PEU-WIPER-650,EE_TLL,Stergatoare fata 650mm,wipers,Tallinn,,Nordic,0.3194,0.9531,0.402,66.5,11,weather_spike_flag,weather spike,40.2,7,10.2502,stable_monitor,"Tallinn / Stergatoare fata 650mm: peak month 11, trigger weather spike (+40.2%), recommended window 7 zile."
PEU-WIPER-650,SE_STO,Stergatoare fata 650mm,wipers,Stockholm,,Nordic,0.3044,0.8916,0.365,65.86,11,weather_spike_flag,weather spike,36.5,7,10.2502,stable_monitor,"Stockholm / Stergatoare fata 650mm: peak month 11, trigger weather spike (+36.5%), recommended window 7 zile."
PEU-CABIN-CARBON,NL_AMS,Filtru habitaclu cu carbon,filters,Amsterdam,,West,0.4185,1.1787,0.2285,65.79,4,heatwave_flag,heatwave,22.8,7,9.9763,stable_monitor,"Amsterdam / Filtru habitaclu cu carbon: peak month 4, trigger heatwave (+22.8%), recommended window 7 zile."
PEU-CABIN-CARBON,DK_CPH,Filtru habitaclu cu carbon,filters,Copenhagen,,North_Central,0.4188,1.1771,0.2572,65.67,4,heatwave_flag,heatwave,25.7,7,9.9763,stable_monitor,"Copenhagen / Filtru habitaclu cu carbon: peak month 4, trigger heatwave (+25.7%), recommended window 7 zile."
PEU-CABIN-CARBON,DE_BER,Filtru habitaclu cu carbon,filters,Berlin,,Central,0.4186,1.1901,0.2239,65.5,4,temperature_rise_flag,temperature rise,22.4,7,9.9763,stable_monitor,"Berlin / Filtru habitaclu cu carbon: peak month 4, trigger temperature rise (+22.4%), recommended window 7 zile."
PEU-BATT-70AH,EE_TLL,Baterie 70Ah AGM/EFB,battery,Tallinn,,Nordic,0.2715,0.5762,0.6051,65.37,12,cold_snap_flag,cold snap,60.5,28,13.7461,stable_monitor,"Tallinn / Baterie 70Ah AGM/EFB: peak month 12, trigger cold snap (+60.5%), recommended window 28 zile."
PEU-CABIN-CARBON,PL_WAW,Filtru habitaclu cu carbon,filters,Warsaw,,Central,0.42,1.1844,0.2336,65.14,4,temperature_rise_flag,temperature rise,23.4,7,9.9763,stable_monitor,"Warsaw / Filtru habitaclu cu carbon: peak month 4, trigger temperature rise (+23.4%), recommended window 7 zile."
PEU-BATT-70AH,SE_STO,Baterie 70Ah AGM/EFB,battery,Stockholm,,Nordic,0.2584,0.4828,0.5933,64.54,1,temperature_drop_flag,temperature drop,59.3,28,13.7461,stable_monitor,"Stockholm / Baterie 70Ah AGM/EFB: peak month 1, trigger temperature drop (+59.3%), recommended window 28 zile."
PEU-CABIN-CARBON,IT_MIL,Filtru habitaclu cu carbon,filters,Milan,,South,0.409,1.1276,0.1619,63.36,4,promotion_flag,promotion,17.7,7,9.9763,stable_monitor,"Milan / Filtru habitaclu cu carbon: peak month 4, trigger promotion (+17.7%), recommended window 7 zile."
PEU-CABIN-CARBON,CZ_PRG,Filtru habitaclu cu carbon,filters,Prague,,Central,0.4171,1.1759,0.2319,63.01,4,temperature_rise_flag,temperature rise,23.2,7,9.9763,stable_monitor,"Prague / Filtru habitaclu cu carbon: peak month 4, trigger temperature rise (+23.2%), recommended window 7 zile."
PEU-BATT-70AH,NL_AMS,Baterie 70Ah AGM/EFB,battery,Amsterdam,,West,0.2066,0.1669,0.8869,62.89,10,cold_snap_flag,cold snap,88.7,28,13.7461,stable_monitor,"Amsterdam / Baterie 70Ah AGM/EFB: peak month 10, trigger cold snap (+88.7%), recommended window 28 zile."
PEU-BATT-70AH,FR_PAR,Baterie 70Ah AGM/EFB,battery,Paris,,West,0.2042,0.1641,0.8754,62.73,10,cold_snap_flag,cold snap,87.5,28,13.7461,stable_monitor,"Paris / Baterie 70Ah AGM/EFB: peak month 10, trigger cold snap (+87.5%), recommended window 28 zile."
PEU-BATT-70AH,PL_WAW,Baterie 70Ah AGM/EFB,battery,Warsaw,,Central,0.2295,0.1753,0.8806,62.29,1,temperature_drop_flag,temperature drop,88.1,28,13.7461,stable_monitor,"Warsaw / Baterie 70Ah AGM/EFB: peak month 1, trigger temperature drop (+88.1%), recommended window 28 zile."
PEU-BATT-70AH,CZ_PRG,Baterie 70Ah AGM/EFB,battery,Prague,,Central,0.2117,0.1952,0.8947,62.16,11,cold_snap_flag,cold snap,89.5,28,13.7461,stable_monitor,"Prague / Baterie 70Ah AGM/EFB: peak month 11, trigger cold snap (+89.5%), recommended window 28 zile."
PEU-COOLANT-PREMIX,FI_HEL,Lichid racire premix 5L,coolant,Helsinki,,Nordic,0.3131,0.8871,0.3462,61.9,11,temperature_drop_flag,temperature drop,34.6,7,10.5586,stable_monitor,"Helsinki / Lichid racire premix 5L: peak month 11, trigger temperature drop (+34.6%), recommended window 7 zile."
PEU-RUBBER-MATS,IT_MIL,Covorase cauciuc Peugeot,accessories,Milan,,South,0.4345,1.174,0.339,61.83,11,promotion_flag,promotion,44.4,7,12.837,stable_monitor,"Milan / Covorase cauciuc Peugeot: peak month 11, trigger promotion (+44.4%), recommended window 7 zile."
PEU-RUBBER-MATS,FI_HEL,Covorase cauciuc Peugeot,accessories,Helsinki,,Nordic,0.4214,1.1346,0.3254,61.78,11,promotion_flag,promotion,41.8,7,12.837,stable_monitor,"Helsinki / Covorase cauciuc Peugeot: peak month 11, trigger promotion (+41.8%), recommended window 7 zile."
PEU-RUBBER-MATS,NL_AMS,Covorase cauciuc Peugeot,accessories,Amsterdam,,West,0.4336,1.1768,0.3229,61.78,11,promotion_flag,promotion,45.4,7,12.837,stable_monitor,"Amsterdam / Covorase cauciuc Peugeot: peak month 11, trigger promotion (+45.4%), recommended window 7 zile."
PEU-BATT-70AH,IT_MIL,Baterie 70Ah AGM/EFB,battery,Milan,,South,0.1989,0.1792,0.8531,61.74,10,cold_snap_flag,cold snap,85.3,28,13.7461,stable_monitor,"Milan / Baterie 70Ah AGM/EFB: peak month 10, trigger cold snap (+85.3%), recommended window 28 zile."
PEU-BATT-70AH,DE_BER,Baterie 70Ah AGM/EFB,battery,Berlin,,Central,0.1999,0.1564,0.8636,61.67,10,cold_snap_flag,cold snap,86.4,28,13.7461,stable_monitor,"Berlin / Baterie 70Ah AGM/EFB: peak month 10, trigger cold snap (+86.4%), recommended window 28 zile."
PEU-BATT-70AH,DK_CPH,Baterie 70Ah AGM/EFB,battery,Copenhagen,,North_Central,0.2078,0.1562,0.8785,61.6,11,cold_snap_flag,cold snap,87.8,28,13.7461,stable_monitor,"Copenhagen / Baterie 70Ah AGM/EFB: peak month 11, trigger cold snap (+87.8%), recommended window 28 zile."
PEU-RUBBER-MATS,FR_PAR,Covorase cauciuc Peugeot,accessories,Paris,,West,0.4342,1.1692,0.3217,61.53,11,promotion_flag,promotion,43.1,7,12.837,stable_monitor,"Paris / Covorase cauciuc Peugeot: peak month 11, trigger promotion (+43.1%), recommended window 7 zile."
PEU-BATT-70AH,ES_MAD,Baterie 70Ah AGM/EFB,battery,Madrid,,South,0.2117,0.1402,0.8857,61.15,7,cold_snap_flag,cold snap,88.6,28,13.7461,stable_monitor,"Madrid / Baterie 70Ah AGM/EFB: peak month 7, trigger cold snap (+88.6%), recommended window 28 zile."
PEU-CABIN-CARBON,RO_BUC,Filtru habitaclu cu carbon,filters,Bucharest,,East,0.404,1.1368,0.1604,60.88,4,temperature_rise_flag,temperature rise,16.0,7,9.9763,stable_monitor,"Bucharest / Filtru habitaclu cu carbon: peak month 4, trigger temperature rise (+16.0%), recommended window 7 zile."
PEU-RUBBER-MATS,RO_BUC,Covorase cauciuc Peugeot,accessories,Bucharest,,East,0.4355,1.1901,0.3297,60.82,11,promotion_flag,promotion,47.5,7,12.837,stable_monitor,"Bucharest / Covorase cauciuc Peugeot: peak month 11, trigger promotion (+47.5%), recommended window 7 zile."
PEU-BATT-70AH,RO_BUC,Baterie 70Ah AGM/EFB,battery,Bucharest,,East,0.2148,0.1529,0.8645,60.6,10,cold_snap_flag,cold snap,86.4,28,13.7461,stable_monitor,"Bucharest / Baterie 70Ah AGM/EFB: peak month 10, trigger cold snap (+86.4%), recommended window 28 zile."
PEU-RUBBER-MATS,SE_STO,Covorase cauciuc Peugeot,accessories,Stockholm,,Nordic,0.4275,1.1673,0.2612,60.37,11,promotion_flag,promotion,42.3,7,12.837,stable_monitor,"Stockholm / Covorase cauciuc Peugeot: peak month 11, trigger promotion (+42.3%), recommended window 7 zile."
PEU-RUBBER-MATS,CZ_PRG,Covorase cauciuc Peugeot,accessories,Prague,,Central,0.4339,1.204,0.2936,60.19,11,promotion_flag,promotion,46.1,7,12.837,stable_monitor,"Prague / Covorase cauciuc Peugeot: peak month 11, trigger promotion (+46.1%), recommended window 7 zile."
PEU-RUBBER-MATS,EE_TLL,Covorase cauciuc Peugeot,accessories,Tallinn,,Nordic,0.4323,1.1583,0.2679,60.02,11,promotion_flag,promotion,40.0,7,12.837,stable_monitor,"Tallinn / Covorase cauciuc Peugeot: peak month 11, trigger promotion (+40.0%), recommended window 7 zile."
PEU-RUBBER-MATS,DK_CPH,Covorase cauciuc Peugeot,accessories,Copenhagen,,North_Central,0.435,1.1605,0.3021,59.75,11,promotion_flag,promotion,42.5,7,12.837,stable_monitor,"Copenhagen / Covorase cauciuc Peugeot: peak month 11, trigger promotion (+42.5%), recommended window 7 zile."
PEU-RUBBER-MATS,PL_WAW,Covorase cauciuc Peugeot,accessories,Warsaw,,Central,0.4329,1.1762,0.2892,59.49,11,promotion_flag,promotion,45.3,7,12.837,stable_monitor,"Warsaw / Covorase cauciuc Peugeot: peak month 11, trigger promotion (+45.3%), recommended window 7 zile."
PEU-COOLANT-PREMIX,EE_TLL,Lichid racire premix 5L,coolant,Tallinn,,Nordic,0.3173,0.8516,0.3634,59.19,11,weather_spike_flag,weather spike,36.3,7,10.5586,stable_monitor,"Tallinn / Lichid racire premix 5L: peak month 11, trigger weather spike (+36.3%), recommended window 7 zile."
PEU-RUBBER-MATS,ES_MAD,Covorase cauciuc Peugeot,accessories,Madrid,,South,0.4283,1.1859,0.2692,59.17,11,promotion_flag,promotion,43.3,7,12.837,stable_monitor,"Madrid / Covorase cauciuc Peugeot: peak month 11, trigger promotion (+43.3%), recommended window 7 zile."
PEU-RUBBER-MATS,DE_BER,Covorase cauciuc Peugeot,accessories,Berlin,,Central,0.4294,1.1448,0.274,58.82,11,promotion_flag,promotion,41.2,7,12.837,stable_monitor,"Berlin / Covorase cauciuc Peugeot: peak month 11, trigger promotion (+41.2%), recommended window 7 zile."
PEU-COOLANT-PREMIX,FR_PAR,Lichid racire premix 5L,coolant,Paris,,West,0.2971,0.8783,0.4067,58.61,11,cold_snap_flag,cold snap,40.7,7,10.5586,stable_monitor,"Paris / Lichid racire premix 5L: peak month 11, trigger cold snap (+40.7%), recommended window 7 zile."
PEU-COOLANT-PREMIX,IT_MIL,Lichid racire premix 5L,coolant,Milan,,South,0.3009,0.8335,0.4622,58.24,11,cold_snap_flag,cold snap,46.2,7,10.5586,stable_monitor,"Milan / Lichid racire premix 5L: peak month 11, trigger cold snap (+46.2%), recommended window 7 zile."
PEU-COOLANT-PREMIX,SE_STO,Lichid racire premix 5L,coolant,Stockholm,,Nordic,0.3046,0.8308,0.3336,57.8,11,heatwave_flag,heatwave,33.4,7,10.5586,stable_monitor,"Stockholm / Lichid racire premix 5L: peak month 11, trigger heatwave (+33.4%), recommended window 7 zile."
PEU-COOLANT-PREMIX,DK_CPH,Lichid racire premix 5L,coolant,Copenhagen,,North_Central,0.2934,0.8788,0.4279,57.11,11,cold_snap_flag,cold snap,42.8,7,10.5586,stable_monitor,"Copenhagen / Lichid racire premix 5L: peak month 11, trigger cold snap (+42.8%), recommended window 7 zile."
PEU-COOLANT-PREMIX,NL_AMS,Lichid racire premix 5L,coolant,Amsterdam,,West,0.2933,0.8586,0.4114,56.83,11,cold_snap_flag,cold snap,41.1,7,10.5586,stable_monitor,"Amsterdam / Lichid racire premix 5L: peak month 11, trigger cold snap (+41.1%), recommended window 7 zile."
PEU-COOLANT-PREMIX,DE_BER,Lichid racire premix 5L,coolant,Berlin,,Central,0.2998,0.8937,0.3957,56.74,11,cold_snap_flag,cold snap,39.6,7,10.5586,stable_monitor,"Berlin / Lichid racire premix 5L: peak month 11, trigger cold snap (+39.6%), recommended window 7 zile."
PEU-ANTIFREEZE-G12,FI_HEL,Antigel G12 concentrat 1L,coolant,Helsinki,,Nordic,0.3133,0.8894,0.3401,56.67,11,temperature_drop_flag,temperature drop,34.0,7,10.5586,stable_monitor,"Helsinki / Antigel G12 concentrat 1L: peak month 11, trigger temperature drop (+34.0%), recommended window 7 zile."
PEU-WIPER-650,FR_PAR,Stergatoare fata 650mm,wipers,Paris,,West,0.2733,0.766,0.2313,55.81,11,service_campaign_flag,service campaign,36.4,7,10.2502,stable_monitor,"Paris / Stergatoare fata 650mm: peak month 11, trigger service campaign (+36.4%), recommended window 7 zile."
PEU-ANTIFREEZE-G12,NL_AMS,Antigel G12 concentrat 1L,coolant,Amsterdam,,West,0.2949,0.8704,0.4247,55.21,11,cold_snap_flag,cold snap,42.5,7,10.5586,stable_monitor,"Amsterdam / Antigel G12 concentrat 1L: peak month 11, trigger cold snap (+42.5%), recommended window 7 zile."
PEU-COOLANT-PREMIX,RO_BUC,Lichid racire premix 5L,coolant,Bucharest,,East,0.298,0.8392,0.4434,55.16,11,cold_snap_flag,cold snap,44.3,7,10.5586,stable_monitor,"Bucharest / Lichid racire premix 5L: peak month 11, trigger cold snap (+44.3%), recommended window 7 zile."
PEU-ANTIFREEZE-G12,SE_STO,Antigel G12 concentrat 1L,coolant,Stockholm,,Nordic,0.3075,0.8527,0.3493,55.14,11,temperature_drop_flag,temperature drop,34.9,7,10.5586,stable_monitor,"Stockholm / Antigel G12 concentrat 1L: peak month 11, trigger temperature drop (+34.9%), recommended window 7 zile."
PEU-COOLANT-PREMIX,ES_MAD,Lichid racire premix 5L,coolant,Madrid,,South,0.2852,0.802,0.4207,55.02,11,cold_snap_flag,cold snap,42.1,7,10.5586,stable_monitor,"Madrid / Lichid racire premix 5L: peak month 11, trigger cold snap (+42.1%), recommended window 7 zile."
PEU-ANTIFREEZE-G12,EE_TLL,Antigel G12 concentrat 1L,coolant,Tallinn,,Nordic,0.3129,0.8526,0.3546,54.91,11,weather_spike_flag,weather spike,35.5,7,10.5586,stable_monitor,"Tallinn / Antigel G12 concentrat 1L: peak month 11, trigger weather spike (+35.5%), recommended window 7 zile."
PEU-ANTIFREEZE-G12,IT_MIL,Antigel G12 concentrat 1L,coolant,Milan,,South,0.3017,0.8237,0.4532,54.86,11,cold_snap_flag,cold snap,45.3,7,10.5586,stable_monitor,"Milan / Antigel G12 concentrat 1L: peak month 11, trigger cold snap (+45.3%), recommended window 7 zile."
PEU-COOLANT-PREMIX,PL_WAW,Lichid racire premix 5L,coolant,Warsaw,,Central,0.2942,0.8455,0.4127,54.72,11,temperature_drop_flag,temperature drop,41.3,7,10.5586,stable_monitor,"Warsaw / Lichid racire premix 5L: peak month 11, trigger temperature drop (+41.3%), recommended window 7 zile."
PEU-WIPER-650,NL_AMS,Stergatoare fata 650mm,wipers,Amsterdam,,West,0.2693,0.7504,0.2257,54.14,11,service_campaign_flag,service campaign,35.2,7,10.2502,stable_monitor,"Amsterdam / Stergatoare fata 650mm: peak month 11, trigger service campaign (+35.2%), recommended window 7 zile."
PEU-ANTIFREEZE-G12,FR_PAR,Antigel G12 concentrat 1L,coolant,Paris,,West,0.2918,0.8511,0.4052,54.0,11,cold_snap_flag,cold snap,40.5,7,10.5586,stable_monitor,"Paris / Antigel G12 concentrat 1L: peak month 11, trigger cold snap (+40.5%), recommended window 7 zile."
PEU-COOLANT-PREMIX,CZ_PRG,Lichid racire premix 5L,coolant,Prague,,Central,0.2911,0.8491,0.4202,53.66,11,cold_snap_flag,cold snap,42.0,7,10.5586,stable_monitor,"Prague / Lichid racire premix 5L: peak month 11, trigger cold snap (+42.0%), recommended window 7 zile."
PEU-WIPER-650,ES_MAD,Stergatoare fata 650mm,wipers,Madrid,,South,0.2708,0.7435,0.2362,53.12,11,service_campaign_flag,service campaign,37.4,7,10.2502,stable_monitor,"Madrid / Stergatoare fata 650mm: peak month 11, trigger service campaign (+37.4%), recommended window 7 zile."
PEU-ANTIFREEZE-G12,DK_CPH,Antigel G12 concentrat 1L,coolant,Copenhagen,,North_Central,0.2926,0.8675,0.4022,52.82,11,cold_snap_flag,cold snap,40.2,7,10.5586,stable_monitor,"Copenhagen / Antigel G12 concentrat 1L: peak month 11, trigger cold snap (+40.2%), recommended window 7 zile."
PEU-ANTIFREEZE-G12,DE_BER,Antigel G12 concentrat 1L,coolant,Berlin,,Central,0.2907,0.8499,0.4123,52.66,11,cold_snap_flag,cold snap,41.2,7,10.5586,stable_monitor,"Berlin / Antigel G12 concentrat 1L: peak month 11, trigger cold snap (+41.2%), recommended window 7 zile."
PEU-WIPER-650,IT_MIL,Stergatoare fata 650mm,wipers,Milan,,South,0.2664,0.7327,0.195,52.59,11,service_campaign_flag,service campaign,37.0,7,10.2502,stable_monitor,"Milan / Stergatoare fata 650mm: peak month 11, trigger service campaign (+37.0%), recommended window 7 zile."
PEU-ANTIFREEZE-G12,RO_BUC,Antigel G12 concentrat 1L,coolant,Bucharest,,East,0.2966,0.8232,0.4573,52.43,11,cold_snap_flag,cold snap,45.7,7,10.5586,stable_monitor,"Bucharest / Antigel G12 concentrat 1L: peak month 11, trigger cold snap (+45.7%), recommended window 7 zile."
PEU-ANTIFREEZE-G12,ES_MAD,Antigel G12 concentrat 1L,coolant,Madrid,,South,0.2841,0.7992,0.4254,52.31,11,cold_snap_flag,cold snap,42.5,7,10.5586,stable_monitor,"Madrid / Antigel G12 concentrat 1L: peak month 11, trigger cold snap (+42.5%), recommended window 7 zile."
PEU-WIPER-650,PL_WAW,Stergatoare fata 650mm,wipers,Warsaw,,Central,0.2645,0.6673,0.1653,52.27,11,service_campaign_flag,service campaign,25.8,7,10.2502,stable_monitor,"Warsaw / Stergatoare fata 650mm: peak month 11, trigger service campaign (+25.8%), recommended window 7 zile."
PEU-WIPER-650,DE_BER,Stergatoare fata 650mm,wipers,Berlin,,Central,0.2581,0.6839,0.1331,52.13,11,service_campaign_flag,service campaign,27.7,7,10.2502,stable_monitor,"Berlin / Stergatoare fata 650mm: peak month 11, trigger service campaign (+27.7%), recommended window 7 zile."
PEU-WIPER-650,RO_BUC,Stergatoare fata 650mm,wipers,Bucharest,,East,0.272,0.7024,0.1618,51.48,11,service_campaign_flag,service campaign,28.9,7,10.2502,stable_monitor,"Bucharest / Stergatoare fata 650mm: peak month 11, trigger service campaign (+28.9%), recommended window 7 zile."
PEU-WIPER-650,DK_CPH,Stergatoare fata 650mm,wipers,Copenhagen,,North_Central,0.2566,0.7025,0.138,51.32,11,service_campaign_flag,service campaign,31.6,7,10.2502,stable_monitor,"Copenhagen / Stergatoare fata 650mm: peak month 11, trigger service campaign (+31.6%), recommended window 7 zile."
PEU-ANTIFREEZE-G12,CZ_PRG,Antigel G12 concentrat 1L,coolant,Prague,,Central,0.2928,0.8596,0.401,51.27,11,cold_snap_flag,cold snap,40.1,7,10.5586,stable_monitor,"Prague / Antigel G12 concentrat 1L: peak month 11, trigger cold snap (+40.1%), recommended window 7 zile."
PEU-OIL-5W30-5L,RO_BUC,Ulei motor 5W30 5L,maintenance,Bucharest,,East,0.1806,0.1196,0.0224,51.27,12,is_payday_window,payday window,36.0,7,13.7828,stable_monitor,"Bucharest / Ulei motor 5W30 5L: peak month 12, trigger payday window (+36.0%), recommended window 7 zile."
PEU-WIPER-650,CZ_PRG,Stergatoare fata 650mm,wipers,Prague,,Central,0.2669,0.6792,0.1437,50.88,11,service_campaign_flag,service campaign,26.9,7,10.2502,stable_monitor,"Prague / Stergatoare fata 650mm: peak month 11, trigger service campaign (+26.9%), recommended window 7 zile."
