sku,part_name,category,location_id,city,country_code,climate_zone,segment_name,current_stock,safety_stock,optimal_stock,lead_time_days,supplier_id,supplier_name,supplier_reliability_score,forecast_demand_7d,forecast_demand_14d,forecast_demand_30d,avg_daily_forecast,max_daily_forecast,days_until_stockout,coverage_ratio_horizon,weather_spike_days_in_horizon,cold_snap_days_in_horizon,heatwave_days_in_horizon,payday_window_days_in_horizon,recommended_action,recommended_qty,priority,explanation
PEU-WINTER-TIRE-205,Anvelopa iarna 205/55R16,tires,PL_WAW,Warsaw,Poland,Central,winter_weather_sensitive,164,22,44,21,SUP-TIRES-PL,Central Europe Tyres,0.89,70.17,132.85,270.56,9.019,11.124,18.18,0.606,0,0,0,6,order,111,high,"Risc stockout: 18.2 zile acoperire vs lead time 21 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WINTER-TIRE-205,Anvelopa iarna 205/55R16,tires,DE_BER,Berlin,Germany,Central,winter_weather_sensitive,162,22,44,21,SUP-TIRES-PL,Central Europe Tyres,0.89,66.01,125.15,259.24,8.641,10.84,18.75,0.625,0,0,0,3,order,102,high,"Risc stockout: 18.7 zile acoperire vs lead time 21 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WINTER-TIRE-205,Anvelopa iarna 205/55R16,tires,CZ_PRG,Prague,Czechia,Central,winter_weather_sensitive,165,22,44,21,SUP-TIRES-PL,Central Europe Tyres,0.89,66.08,126.11,260.59,8.686,10.786,19.0,0.633,0,0,0,6,order,101,high,"Risc stockout: 19.0 zile acoperire vs lead time 21 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WINTER-TIRE-205,Anvelopa iarna 205/55R16,tires,RO_BUC,Bucharest,Romania,East,winter_weather_sensitive,166,22,44,21,SUP-TIRES-PL,Central Europe Tyres,0.89,63.16,121.78,252.74,8.425,10.259,19.7,0.657,0,0,0,5,order,92,high,"Risc stockout: 19.7 zile acoperire vs lead time 21 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WINTER-TIRE-205,Anvelopa iarna 205/55R16,tires,DK_CPH,Copenhagen,Denmark,North_Central,slow_moving_intermittent,173,22,44,21,SUP-TIRES-PL,Central Europe Tyres,0.89,63.93,122.27,254.72,8.491,10.643,20.38,0.679,0,0,0,3,order,44,high,"Risc stockout: 20.4 zile acoperire vs lead time 21 zile. Segment slow-moving: comanda este plafonata pentru a evita overstock. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WINTER-TIRE-205,Anvelopa iarna 205/55R16,tires,FR_PAR,Paris,France,West,winter_weather_sensitive,173,22,44,21,SUP-TIRES-PL,Central Europe Tyres,0.89,61.54,118.6,248.26,8.275,9.687,20.91,0.697,0,0,0,3,order,81,high,"Risc stockout: 20.9 zile acoperire vs lead time 21 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WF-WINTER-5L,Lichid parbriz iarna -20C 5L,winter_fluids,FR_PAR,Paris,France,West,promotion_travel_sensitive,384,80,160,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,154.22,293.35,606.21,20.207,25.116,19.0,0.633,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-WF-WINTER-5L,Lichid parbriz iarna -20C 5L,winter_fluids,NL_AMS,Amsterdam,Netherlands,West,promotion_travel_sensitive,388,80,160,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,148.87,288.26,605.3,20.177,24.855,19.23,0.641,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-WF-WINTER-5L,Lichid parbriz iarna -20C 5L,winter_fluids,IT_MIL,Milan,Italy,South,promotion_travel_sensitive,395,80,160,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,144.7,282.0,582.76,19.425,22.682,20.33,0.678,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-BATT-70AH,Baterie 70Ah AGM/EFB,battery,FI_HEL,Helsinki,Finland,Nordic,fast_moving_stable,139,10,20,10,SUP-ELECTRIC-DE,Rhine Electric Parts,0.91,47.31,94.21,200.91,6.697,7.518,20.76,0.692,0,30,0,3,monitor,0,low,"Stocul acopera forecast-ul pe orizontul analizat. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WF-WINTER-5L,Lichid parbriz iarna -20C 5L,winter_fluids,ES_MAD,Madrid,Spain,South,promotion_travel_sensitive,399,80,160,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,140.17,275.26,562.9,18.763,21.521,21.26,0.709,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-BATT-70AH,Baterie 70Ah AGM/EFB,battery,EE_TLL,Tallinn,Estonia,Nordic,fast_moving_stable,143,10,20,10,SUP-ELECTRIC-DE,Rhine Electric Parts,0.91,45.71,92.07,196.11,6.537,7.269,21.88,0.729,0,23,0,6,monitor,0,low,"Stocul acopera forecast-ul pe orizontul analizat. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-COOLANT-PREMIX,Lichid racire premix 5L,coolant,FI_HEL,Helsinki,Finland,Nordic,fast_moving_stable,206,30,60,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,67.16,130.52,272.34,9.078,10.269,22.69,0.756,0,30,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-BATT-70AH,Baterie 70Ah AGM/EFB,battery,SE_STO,Stockholm,Sweden,Nordic,fast_moving_stable,143,10,20,10,SUP-ELECTRIC-DE,Rhine Electric Parts,0.91,44.4,88.46,187.34,6.245,6.734,22.9,0.763,0,14,0,3,monitor,0,low,"Stocul acopera forecast-ul pe orizontul analizat. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-COOLANT-PREMIX,Lichid racire premix 5L,coolant,EE_TLL,Tallinn,Estonia,Nordic,fast_moving_stable,209,30,60,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,66.44,130.84,271.56,9.052,10.628,23.09,0.77,0,23,0,6,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-COOLANT-PREMIX,Lichid racire premix 5L,coolant,SE_STO,Stockholm,Sweden,Nordic,fast_moving_stable,210,30,60,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,64.75,125.98,262.59,8.753,10.052,23.99,0.8,0,14,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-RUBBER-MATS,Covorase cauciuc Peugeot,accessories,FI_HEL,Helsinki,Finland,Nordic,fast_moving_stable,178,18,36,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,47.59,94.16,199.63,6.654,7.371,26.75,0.892,0,30,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-WIPER-650,Stergatoare fata 650mm,wipers,FI_HEL,Helsinki,Finland,Nordic,fast_moving_stable,254,40,80,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,73.35,139.06,282.17,9.406,11.257,27.01,0.9,0,30,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-ANTIFREEZE-G12,Antigel G12 concentrat 1L,coolant,FI_HEL,Helsinki,Finland,Nordic,fast_moving_stable,276,50,100,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,75.22,145.23,299.12,9.971,11.498,27.68,0.923,0,30,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-WIPER-650,Stergatoare fata 650mm,wipers,EE_TLL,Tallinn,Estonia,Nordic,fast_moving_stable,262,40,80,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,72.5,138.49,281.27,9.376,11.582,27.94,0.931,0,23,0,6,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-WIPER-650,Stergatoare fata 650mm,wipers,SE_STO,Stockholm,Sweden,Nordic,fast_moving_stable,260,40,80,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,71.95,136.09,277.64,9.255,11.454,28.09,0.936,0,14,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-ANTIFREEZE-G12,Antigel G12 concentrat 1L,coolant,SE_STO,Stockholm,Sweden,Nordic,fast_moving_stable,279,50,100,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,74.42,143.4,296.01,9.867,11.518,28.28,0.943,0,14,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-RUBBER-MATS,Covorase cauciuc Peugeot,accessories,EE_TLL,Tallinn,Estonia,Nordic,fast_moving_stable,182,18,36,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,45.01,90.7,191.77,6.392,7.235,28.47,0.949,0,23,0,6,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-ANTIFREEZE-G12,Antigel G12 concentrat 1L,coolant,EE_TLL,Tallinn,Estonia,Nordic,fast_moving_stable,282,50,100,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,73.36,143.0,296.11,9.87,11.526,28.57,0.952,0,23,0,6,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-COOLANT-PREMIX,Lichid racire premix 5L,coolant,FR_PAR,Paris,France,West,fast_moving_stable,223,30,60,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,57.27,111.9,233.33,7.778,8.793,28.67,0.956,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-RUBBER-MATS,Covorase cauciuc Peugeot,accessories,SE_STO,Stockholm,Sweden,Nordic,fast_moving_stable,182,18,36,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,45.87,90.49,190.13,6.338,7.015,28.72,0.957,0,14,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-COOLANT-PREMIX,Lichid racire premix 5L,coolant,NL_AMS,Amsterdam,Netherlands,West,fast_moving_stable,223,30,60,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,56.25,110.07,230.3,7.677,8.557,29.05,0.968,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-RUBBER-MATS,Covorase cauciuc Peugeot,accessories,FR_PAR,Paris,France,West,fast_moving_stable,180,18,36,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,44.35,86.47,181.33,6.044,6.863,29.78,0.993,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-COOLANT-PREMIX,Lichid racire premix 5L,coolant,DE_BER,Berlin,Germany,Central,fast_moving_stable,224,30,60,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,55.85,108.56,225.58,7.519,8.517,29.79,0.993,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-COOLANT-PREMIX,Lichid racire premix 5L,coolant,IT_MIL,Milan,Italy,South,fast_moving_stable,226,30,60,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,54.33,106.28,222.23,7.408,8.268,30.51,1.017,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-WIPER-650,Stergatoare fata 650mm,wipers,DE_BER,Berlin,Germany,Central,fast_moving_stable,265,40,80,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,65.25,125.03,259.59,8.653,10.557,30.63,1.021,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-COOLANT-PREMIX,Lichid racire premix 5L,coolant,PL_WAW,Warsaw,Poland,Central,fast_moving_stable,226,30,60,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,52.91,104.78,220.22,7.341,8.04,30.79,1.026,0,0,0,6,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-WIPER-650,Stergatoare fata 650mm,wipers,PL_WAW,Warsaw,Poland,Central,fast_moving_stable,269,40,80,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,64.36,125.33,260.91,8.697,10.047,30.93,1.031,0,0,0,6,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-RUBBER-MATS,Covorase cauciuc Peugeot,accessories,DE_BER,Berlin,Germany,Central,fast_moving_stable,183,18,36,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,42.4,83.34,175.98,5.866,6.474,31.2,1.04,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-COOLANT-PREMIX,Lichid racire premix 5L,coolant,CZ_PRG,Prague,Czechia,Central,fast_moving_stable,228,30,60,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,52.43,102.77,217.45,7.248,8.076,31.46,1.049,0,0,0,6,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-COOLANT-PREMIX,Lichid racire premix 5L,coolant,ES_MAD,Madrid,Spain,South,fast_moving_stable,227,30,60,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,53.32,103.83,216.42,7.214,8.221,31.47,1.049,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-RUBBER-MATS,Covorase cauciuc Peugeot,accessories,NL_AMS,Amsterdam,Netherlands,West,fast_moving_stable,183,18,36,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,41.83,82.39,174.44,5.815,6.465,31.47,1.049,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-WIPER-650,Stergatoare fata 650mm,wipers,CZ_PRG,Prague,Czechia,Central,fast_moving_stable,270,40,80,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,63.9,123.78,257.3,8.577,9.901,31.48,1.049,0,0,0,6,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-RUBBER-MATS,Covorase cauciuc Peugeot,accessories,IT_MIL,Milan,Italy,South,fast_moving_stable,184,18,36,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,42.36,82.89,174.75,5.825,6.474,31.59,1.053,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-WIPER-650,Stergatoare fata 650mm,wipers,RO_BUC,Bucharest,Romania,East,fast_moving_stable,270,40,80,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,63.35,123.1,256.16,8.539,9.827,31.62,1.054,0,0,0,5,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-RUBBER-MATS,Covorase cauciuc Peugeot,accessories,PL_WAW,Warsaw,Poland,Central,fast_moving_stable,185,18,36,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,40.7,81.43,172.5,5.75,6.384,32.17,1.072,0,0,0,6,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-COOLANT-PREMIX,Lichid racire premix 5L,coolant,DK_CPH,Copenhagen,Denmark,North_Central,fast_moving_stable,228,30,60,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,51.39,100.59,211.72,7.057,7.894,32.31,1.077,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-COOLANT-PREMIX,Lichid racire premix 5L,coolant,RO_BUC,Bucharest,Romania,East,fast_moving_stable,231,30,60,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,50.16,98.99,210.37,7.012,7.802,32.94,1.098,0,0,0,5,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-RUBBER-MATS,Covorase cauciuc Peugeot,accessories,ES_MAD,Madrid,Spain,South,fast_moving_stable,187,18,36,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,40.42,79.98,169.21,5.64,6.114,33.15,1.105,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-RUBBER-MATS,Covorase cauciuc Peugeot,accessories,RO_BUC,Bucharest,Romania,East,fast_moving_stable,187,18,36,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,39.46,78.39,167.05,5.568,6.189,33.58,1.119,0,0,0,5,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-WIPER-650,Stergatoare fata 650mm,wipers,FR_PAR,Paris,France,West,fast_moving_stable,276,40,80,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,59.53,116.58,246.29,8.21,9.307,33.62,1.121,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-ANTIFREEZE-G12,Antigel G12 concentrat 1L,coolant,FR_PAR,Paris,France,West,fast_moving_stable,294,50,100,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,64.56,125.26,261.1,8.703,10.098,33.78,1.126,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-HEADLIGHT-H7,Bec far H7,lighting,FI_HEL,Helsinki,Finland,Nordic,fast_moving_stable,287,50,100,7,SUP-ELECTRIC-DE,Rhine Electric Parts,0.91,60.23,117.56,248.79,8.293,9.294,34.61,1.154,0,30,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-RUBBER-MATS,Covorase cauciuc Peugeot,accessories,CZ_PRG,Prague,Czechia,Central,fast_moving_stable,189,18,36,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,38.52,76.55,163.31,5.444,5.936,34.72,1.157,0,0,0,6,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-WIPER-650,Stergatoare fata 650mm,wipers,NL_AMS,Amsterdam,Netherlands,West,fast_moving_stable,279,40,80,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,58.43,114.37,240.56,8.019,8.896,34.79,1.16,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-WIPER-650,Stergatoare fata 650mm,wipers,DK_CPH,Copenhagen,Denmark,North_Central,fast_moving_stable,278,40,80,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,57.26,112.78,238.66,7.955,8.831,34.95,1.165,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-ANTIFREEZE-G12,Antigel G12 concentrat 1L,coolant,IT_MIL,Milan,Italy,South,fast_moving_stable,296,50,100,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,62.05,120.57,251.48,8.383,9.656,35.31,1.177,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-RUBBER-MATS,Covorase cauciuc Peugeot,accessories,DK_CPH,Copenhagen,Denmark,North_Central,fast_moving_stable,185,18,36,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,37.4,73.43,156.81,5.227,5.851,35.39,1.18,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-ANTIFREEZE-G12,Antigel G12 concentrat 1L,coolant,NL_AMS,Amsterdam,Netherlands,West,fast_moving_stable,298,50,100,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,62.09,120.46,251.21,8.374,9.7,35.59,1.186,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-ANTIFREEZE-G12,Antigel G12 concentrat 1L,coolant,DE_BER,Berlin,Germany,Central,fast_moving_stable,298,50,100,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,61.61,119.22,247.37,8.246,9.617,36.14,1.205,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-ANTIFREEZE-G12,Antigel G12 concentrat 1L,coolant,DK_CPH,Copenhagen,Denmark,North_Central,fast_moving_stable,299,50,100,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,60.87,118.11,247.05,8.235,9.534,36.31,1.21,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-HEADLIGHT-H7,Bec far H7,lighting,SE_STO,Stockholm,Sweden,Nordic,fast_moving_stable,289,50,100,7,SUP-ELECTRIC-DE,Rhine Electric Parts,0.91,56.88,112.46,238.1,7.937,8.715,36.41,1.214,0,14,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-WIPER-650,Stergatoare fata 650mm,wipers,IT_MIL,Milan,Italy,South,fast_moving_stable,282,40,80,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,56.15,110.0,231.87,7.729,8.55,36.49,1.216,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-HEADLIGHT-H7,Bec far H7,lighting,EE_TLL,Tallinn,Estonia,Nordic,fast_moving_stable,293,50,100,7,SUP-ELECTRIC-DE,Rhine Electric Parts,0.91,56.78,113.34,238.63,7.954,8.652,36.83,1.228,0,23,0,6,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-ANTIFREEZE-G12,Antigel G12 concentrat 1L,coolant,PL_WAW,Warsaw,Poland,Central,fast_moving_stable,300,50,100,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,59.01,116.58,243.5,8.117,9.083,36.96,1.232,0,0,0,6,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-HEADLIGHT-H7,Bec far H7,lighting,FR_PAR,Paris,France,West,fast_moving_stable,292,50,100,7,SUP-ELECTRIC-DE,Rhine Electric Parts,0.91,56.96,112.0,236.29,7.876,8.619,37.07,1.236,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-WIPER-650,Stergatoare fata 650mm,wipers,ES_MAD,Madrid,Spain,South,fast_moving_stable,283,40,80,21,SUP-ACCESS-EU,AutoAccess Distribution,0.9,55.17,108.36,228.96,7.632,8.403,37.08,1.236,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-ANTIFREEZE-G12,Antigel G12 concentrat 1L,coolant,CZ_PRG,Prague,Czechia,Central,fast_moving_stable,302,50,100,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,58.6,113.92,240.44,8.015,9.035,37.68,1.256,0,0,0,6,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-ANTIFREEZE-G12,Antigel G12 concentrat 1L,coolant,ES_MAD,Madrid,Spain,South,fast_moving_stable,300,50,100,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,58.99,114.45,238.62,7.954,9.155,37.72,1.257,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-HEADLIGHT-H7,Bec far H7,lighting,NL_AMS,Amsterdam,Netherlands,West,fast_moving_stable,293,50,100,7,SUP-ELECTRIC-DE,Rhine Electric Parts,0.91,56.24,110.3,232.32,7.744,8.543,37.84,1.261,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-HEADLIGHT-H7,Bec far H7,lighting,IT_MIL,Milan,Italy,South,fast_moving_stable,293,50,100,7,SUP-ELECTRIC-DE,Rhine Electric Parts,0.91,56.4,110.69,231.98,7.733,8.525,37.89,1.263,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-ANTIFREEZE-G12,Antigel G12 concentrat 1L,coolant,RO_BUC,Bucharest,Romania,East,fast_moving_stable,301,50,100,14,SUP-FLUIDS-EU,EuroFluids Logistics,0.93,58.05,112.62,233.93,7.798,9.002,38.6,1.287,0,0,0,5,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-HEADLIGHT-H7,Bec far H7,lighting,DE_BER,Berlin,Germany,Central,fast_moving_stable,295,50,100,7,SUP-ELECTRIC-DE,Rhine Electric Parts,0.91,55.16,107.51,225.21,7.507,8.4,39.3,1.31,0,0,0,3,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
