location_id,sku,current_stock_units,reorder_point,lead_time_days
FI_HEL,PEU-WF-WINTER-5L,164,80,14
FR_PAR,PEU-AC-REFILL,212,15,14
RO_BUC,PEU-BRAKE-FLUID-DOT4,273,40,10
RO_BUC,PEU-BATT-70AH,163,10,10
RO_BUC,PEU-ANTIFREEZE-G12,301,50,14
RO_BUC,PEU-AIR-FILTER,393,65,10
RO_BUC,PEU-ADBLUE-10L,375,60,7
RO_BUC,PEU-AC-REFILL,218,15,14
PL_WAW,PEU-WIPER-650,269,40,21
PL_WAW,PEU-WINTER-TIRE-205,164,22,21
PL_WAW,PEU-WF-WINTER-5L,314,80,14
PL_WAW,PEU-SUMMER-TIRE-205,218,20,21
PL_WAW,PEU-SPARK-PLUG,275,40,14
PL_WAW,PEU-RUBBER-MATS,185,18,21
PL_WAW,PEU-OIL-FILTER,477,85,7
PL_WAW,PEU-OIL-5W30-5L,409,70,7
PL_WAW,PEU-HEADLIGHT-H7,297,50,7
PL_WAW,PEU-COOLANT-PREMIX,226,30,14
PL_WAW,PEU-CABIN-CARBON,335,45,10
PL_WAW,PEU-BRAKE-PADS-F,274,35,14
PL_WAW,PEU-BRAKE-FLUID-DOT4,270,40,10
PL_WAW,PEU-BATT-70AH,162,10,10
PL_WAW,PEU-ANTIFREEZE-G12,300,50,14
PL_WAW,PEU-AIR-FILTER,389,65,10
PL_WAW,PEU-ADBLUE-10L,372,60,7
RO_BUC,PEU-BRAKE-PADS-F,274,35,14
PL_WAW,PEU-AC-REFILL,216,15,14
RO_BUC,PEU-CABIN-CARBON,337,45,10
RO_BUC,PEU-HEADLIGHT-H7,300,50,7
SE_STO,PEU-SUMMER-TIRE-205,217,20,21
SE_STO,PEU-SPARK-PLUG,271,40,14
SE_STO,PEU-RUBBER-MATS,182,18,21
SE_STO,PEU-OIL-FILTER,469,85,7
SE_STO,PEU-OIL-5W30-5L,401,70,7
SE_STO,PEU-HEADLIGHT-H7,289,50,7
SE_STO,PEU-COOLANT-PREMIX,210,30,14
SE_STO,PEU-CABIN-CARBON,332,45,10
SE_STO,PEU-BRAKE-PADS-F,269,35,14
SE_STO,PEU-BRAKE-FLUID-DOT4,266,40,10
SE_STO,PEU-BATT-70AH,143,10,10
SE_STO,PEU-ANTIFREEZE-G12,279,50,14
SE_STO,PEU-AIR-FILTER,385,65,10
SE_STO,PEU-ADBLUE-10L,369,60,7
SE_STO,PEU-AC-REFILL,213,15,14
RO_BUC,PEU-WIPER-650,270,40,21
RO_BUC,PEU-WINTER-TIRE-205,166,22,21
RO_BUC,PEU-WF-WINTER-5L,322,80,14
RO_BUC,PEU-SUMMER-TIRE-205,221,20,21
RO_BUC,PEU-SPARK-PLUG,277,40,14
RO_BUC,PEU-RUBBER-MATS,187,18,21
RO_BUC,PEU-OIL-FILTER,481,85,7
RO_BUC,PEU-OIL-5W30-5L,407,70,7
RO_BUC,PEU-COOLANT-PREMIX,231,30,14
FI_HEL,PEU-WINTER-TIRE-205,123,22,21
NL_AMS,PEU-WIPER-650,279,40,21
NL_AMS,PEU-WF-WINTER-5L,388,80,14
IT_MIL,PEU-BRAKE-FLUID-DOT4,268,40,10
IT_MIL,PEU-BATT-70AH,161,10,10
IT_MIL,PEU-ANTIFREEZE-G12,296,50,14
IT_MIL,PEU-AIR-FILTER,389,65,10
IT_MIL,PEU-ADBLUE-10L,374,60,7
IT_MIL,PEU-AC-REFILL,215,15,14
FR_PAR,PEU-WIPER-650,276,40,21
FR_PAR,PEU-WINTER-TIRE-205,173,22,21
FR_PAR,PEU-WF-WINTER-5L,384,80,14
FR_PAR,PEU-SUMMER-TIRE-205,218,20,21
FR_PAR,PEU-SPARK-PLUG,271,40,14
FR_PAR,PEU-RUBBER-MATS,180,18,21
FR_PAR,PEU-OIL-FILTER,471,85,7
FR_PAR,PEU-OIL-5W30-5L,401,70,7
FR_PAR,PEU-HEADLIGHT-H7,292,50,7
FR_PAR,PEU-COOLANT-PREMIX,223,30,14
FR_PAR,PEU-CABIN-CARBON,332,45,10
FR_PAR,PEU-BRAKE-PADS-F,267,35,14
FR_PAR,PEU-BRAKE-FLUID-DOT4,266,40,10
FR_PAR,PEU-BATT-70AH,161,10,10
FR_PAR,PEU-ANTIFREEZE-G12,294,50,14
FR_PAR,PEU-AIR-FILTER,385,65,10
FR_PAR,PEU-ADBLUE-10L,369,60,7
IT_MIL,PEU-BRAKE-PADS-F,271,35,14
NL_AMS,PEU-WINTER-TIRE-205,175,22,21
IT_MIL,PEU-CABIN-CARBON,332,45,10
IT_MIL,PEU-HEADLIGHT-H7,293,50,7
NL_AMS,PEU-SUMMER-TIRE-205,219,20,21
NL_AMS,PEU-SPARK-PLUG,272,40,14
NL_AMS,PEU-RUBBER-MATS,183,18,21
NL_AMS,PEU-OIL-FILTER,473,85,7
NL_AMS,PEU-OIL-5W30-5L,403,70,7
NL_AMS,PEU-HEADLIGHT-H7,293,50,7
NL_AMS,PEU-COOLANT-PREMIX,223,30,14
NL_AMS,PEU-CABIN-CARBON,331,45,10
NL_AMS,PEU-BRAKE-PADS-F,271,35,14
NL_AMS,PEU-BRAKE-FLUID-DOT4,269,40,10
NL_AMS,PEU-BATT-70AH,161,10,10
NL_AMS,PEU-ANTIFREEZE-G12,298,50,14
NL_AMS,PEU-AIR-FILTER,387,65,10
NL_AMS,PEU-ADBLUE-10L,372,60,7
NL_AMS,PEU-AC-REFILL,213,15,14
IT_MIL,PEU-WIPER-650,282,40,21
IT_MIL,PEU-WINTER-TIRE-205,179,22,21
IT_MIL,PEU-WF-WINTER-5L,395,80,14
IT_MIL,PEU-SUMMER-TIRE-205,219,20,21
IT_MIL,PEU-SPARK-PLUG,270,40,14
IT_MIL,PEU-RUBBER-MATS,184,18,21
IT_MIL,PEU-OIL-FILTER,471,85,7
IT_MIL,PEU-OIL-5W30-5L,407,70,7
IT_MIL,PEU-COOLANT-PREMIX,226,30,14
SE_STO,PEU-WIPER-650,260,40,21
